serZone;type;tag;description
FBN;stopSignal with incoherent ptcar reference;;stopSignal K-C.8 is present in micro:location Y.Inrit Gr.R (ptcarId 1052) but linked to ptrefColumn FSR 2724/3 (ptcarId 1362)
FBN;stopSignal with incoherent ptcar reference;;stopSignal KX-C.8 is present in micro:location Y.Inrit Gr.R (ptcarId 1052) but linked to ptrefColumn FSR 2724/3 (ptcarId 1362)
FBN;stopSignal with incoherent ptcar reference;;stopSignal N-G.8 is present in micro:location Schaarbeek-G (ptcarId 2005) but linked to ptrefColumn FSR 2720/1 (ptcarId 1120)
FBN;stopSignal with incoherent ptcar reference;;stopSignal NR-N.8 is present in micro:location Schb-GrR-B.R (ptcarId 1120) but linked to ptrefColumn FSR 2719/0 (ptcarId 1050)
FBN;stopSignal with incoherent ptcar reference;;stopSignal O-G.8 is present in micro:location Schaarbeek-G (ptcarId 2005) but linked to ptrefColumn FSR 2720/3 (ptcarId 1051)
FBN;stopSignal with incoherent ptcar reference;;stopSignal P-K.8 is present in micro:location Schaarb-K/C (ptcarId 1362) but linked to ptrefColumn FSR 2727/1 (ptcarId 1049)
FBN;stopSignal with incoherent ptcar reference;;stopSignal S-W.8 is present in micro:location Arcaden (ptcarId 1912) but linked to ptrefColumn Y.Boondael 2 (ptcarId 1514)
FBN;stopSignal with incoherent ptcar reference;;stopSignal SX-W.8 is present in micro:location Arcaden (ptcarId 1912) but linked to ptrefColumn Y.Boondael 2 (ptcarId 1514)
FBN;stopSignal with incoherent ptcar reference;;stopSignal T-K.8 is present in micro:location Schaarb-K/C (ptcarId 1362) but linked to ptrefColumn FSR 2727/1 (ptcarId 1049)
FBN;stopSignal with incoherent ptcar reference;;stopSignal V-G.8 is present in micro:location Schaarbeek-G (ptcarId 2005) but linked to ptrefColumn FSR 2720/6 (ptcarId 1753)
FBN;stopSignal with incoherent ptcar reference;;stopSignal a44.fic is present in micro:location V.Haren-MIVB (ptcarId 509) but linked to ptrefColumn Haren 2606/2 (ptcarId 1663)
FBN;stopSignal with incoherent ptcar reference;;stopSignal ay78.fic is present in micro:location Etterbeek (ptcarId 380) but linked to ptrefColumn Mout 61075/2 (ptcarId 1973)
FBN;stopSignal with incoherent ptcar reference;;stopSignal bx44.fic is present in micro:location V.Haren-MIVB (ptcarId 509) but linked to ptrefColumn Haren 2606/2 (ptcarId 1663)
FBN;stopSignal with incoherent ptcar reference;;stopSignal bz78.fic is present in micro:location Etterbeek (ptcarId 380) but linked to ptrefColumn Mout 61075/2 (ptcarId 1973)
FBN;subLocation without locationPoint;;Schaarbeek - Bundel V
FBN;subLocation without locationPoint;;Schaarbeek TV 26A - DSP kant 2
FBN;subLocation without locationPoint;;Schaarbeek TV 26A - SAS kant 2
FBN;subLocation without locationPoint;;Schaarbeek-Bundel V - OOP
FBN;subLocation without locationPoint;;Schaarbeek-D.O.P.
FBN;subLocation without locationPoint;;Schaarbeek-T.W./E. - Bundel E
FBN;subLocation without locationPoint;;Schaarbeek-TW/D - Noorderkoer
FBN;subLocation without locationPoint;;Schaarbeek-TW/D - Zuiderkoer
FBN;subLocation without locationPoint;;Schaarbeek-Toeg.Vorming-L26A
FBN;subLocation without locationPoint;;Schaarbeek-Vorming - B. Voorhaven
FBN;subLocation without locationPoint;;Schaarbeek-Vorming - Bundel C
FBN;subLocation without locationPoint;;Schaarbeek-Vorming - DSP kant 2
FBN;subLocation without locationPoint;;Schaarbeek-Vorming - Kaaisporen
FBN;switch not linked to 3 trackEdges;;switch 02N (location Schaarbeek-N, grid 3697)
FBN;switch not linked to 3 trackEdges;;switch 08AW (location Watermaal, grid 61062)
FBN;switch not linked to 3 trackEdges;;switch 09AW (location Watermaal, grid 61060)
FBN;switch not linked to 3 trackEdges;;switch 12W (location Watermaal, grid 61062)
FBN;switch not linked to 3 trackEdges;;switch 16G (location Schaarb-Gr.G, grid 2720)
FBN;switch not linked to 3 trackEdges;;switch 17G (location Schaarbeek-G, grid 2720)
FBN;switch not linked to 3 trackEdges;;switch 20L (location Schaarbeek-M, grid 3699)
FBN;switch not linked to 3 trackEdges;;switch 22K (location Schaarb-K/C, grid 2727)
FBN;switch not linked to 3 trackEdges;;switch 24K (location Schaarb-K/C, grid 2727)
FBN;switch not linked to 3 trackEdges;;switch 25BC (location Y.Inrit Gr.R, grid 2724)
FBN;switch not linked to 3 trackEdges;;switch 47BC (location Y.Sch'b-Carw, grid 2718)
FBN;switch not linked to 3 trackEdges;;switch 61L (location Schaarbeek, grid 3699)
FBN;switch not linked to 3 trackEdges;;switch 77C (location Y.Sch'b-Carw, grid 2718)
FCR;catenaryCase without nodes;;26373
FCR;catenaryCase without nodes;;26376
FCR;incoherent stopSignal regimes;;trackEdge [switch 34AM to switch 07N]: found normal and wrong regimes for up stopSignal group
FCR;locationRouteEdge without locationPoint with timingLocation[meso];;location FCLGO (ptcarId 2006): nb of locationRouteEdges without locationPoint with timingLocation[meso] 1/197 KW-I.20 - L138-A
FCR;locationRouteEdge without locationPoint with timingLocation[meso];;location LQFR (ptcarId 370): nb of locationRouteEdges without locationPoint with timingLocation[meso] 2/6 L-L.20 - L130A-A L130A-B - LY-L.20
FCR;locationRouteEdge without locationPoint with timingLocation[meso];;location NLS (ptcarId 744): nb of locationRouteEdges without locationPoint with timingLocation[meso] 3/9 C-L.20 - L130A-A L130A-A - P.AW04AL L130A-B - P.AW04BL
FCR;locationRouteEdge without locationPoint with timingLocation[meso];;location NLSG (ptcarId 745): nb of locationRouteEdges without locationPoint with timingLocation[meso] 2/12 F-L.20 - Lobbes-Gar. - SAS 424 - L130A-A FX-L.20 - Lobbes-Gar. - SAS 425 - L130A-B
FCR;locationRouteEdge without locationPoint with timingLocation[micro];;location FCLF (ptcarId 264): nb of locationRouteEdges without locationPoint with timingLocation[micro] 1/62 RD-J.20 - L130L/3
FCR;locationRouteEdge without locationPoint with timingLocation[micro];;location FCLGO (ptcarId 2006): nb of locationRouteEdges without locationPoint with timingLocation[micro] 1/197 KW-I.20 - L138-A
FCR;locationRouteEdge without locationPoint with timingLocation[micro];;location FCRO (ptcarId 258): nb of locationRouteEdges without locationPoint with timingLocation[micro] 2/26 L140-A - AW01AQ L140-B - AW01BQ
FCR;locationRouteEdge without locationPoint with timingLocation[micro];;location LQFR (ptcarId 370): nb of locationRouteEdges without locationPoint with timingLocation[micro] 2/6 L-L.20 - L130A-A L130A-B - LY-L.20
FCR;locationRouteEdge without locationPoint with timingLocation[micro];;location NLS (ptcarId 744): nb of locationRouteEdges without locationPoint with timingLocation[micro] 3/9 C-L.20 - L130A-A L130A-A - P.AW04AL L130A-B - P.AW04BL
FCR;locationRouteEdge without locationPoint with timingLocation[micro];;location NLSG (ptcarId 745): nb of locationRouteEdges without locationPoint with timingLocation[micro] 2/12 F-L.20 - Lobbes-Gar. - SAS 424 - L130A-A FX-L.20 - Lobbes-Gar. - SAS 425 - L130A-B
FCR;routing without routeEdge;;Châtelet 13032 - D2-I.20 - KW-I.20
FCR;routing without routeEdge;;DX-L.20 - C-L.20
FCR;routing without routeEdge;;Erquelinn 13065/1 rw LY-L.20 - M-L.20
FCR;routing without routeEdge;;Erquelinn 13065/2 rw MY-L.20 - L-L.20
FCR;speedSignal without node;;L124KP55A230R1S0
FCR;speedSignal without node;;L124KP55A230R2S0
FCR;speedSignal without node;;L124KP55A457R1S0
FCR;speedSignal without node;;L124KP55A457R2S0
FCR;speedSignal without node;;L130KP113A610R1S1
FCR;speedSignal without node;;L130KP79A480R1S2
FCR;speedSignal without node;;L130KP80A161R2S2
FCR;speedSignal without node;;L130KP81A688R1S1
FCR;speedSignal without node;;L130KP81A819R1S2
FCR;speedSignal without node;;L130KP83A126R2S2
FCR;speedSignal without node;;L130KP97A550R1S1
FCR;speedSignal without node;;L130KP97A757R1S2
FCR;speedSignal without node;;L130KP97A778R1S1
FCR;speedSignal without node;;L130KP98A749R2S1
FCR;speedSignal without node;NEW;L132KP100A0R2S1
FCR;speedSignal without node;;L132KP99A500R1S1
FCR;speedSignal without node;NEW;L132KP99A648R1S1
FCR;speedSignal without node;FIXED;L132KP99A746R2S1
FCR;speedSignal without node;;L140KP53A80R2S2
FCR;speedSignal without node;;L140KP63A655R1S1
FCR;speedSignal without node;;L140KP64A392R2S1
FCR;stopSignal with incoherent ptcar reference;;stopSignal A1016 is present in micro:location Landelies (ptcarId 683) but linked to ptrefColumn NZ 13052/1 (ptcarId 793)
FCR;stopSignal with incoherent ptcar reference;;stopSignal A1016.fic is present in micro:location Landelies (ptcarId 683) but linked to ptrefColumn NZ 13052/2 (ptcarId 793)
FCR;stopSignal with incoherent ptcar reference;;stopSignal A849 is present in micro:location Farciennes (ptcarId 392) but linked to ptrefColumn FAO 13011/1 (ptcarId 16)
FCR;stopSignal with incoherent ptcar reference;;stopSignal A849.fic is present in micro:location Farciennes (ptcarId 392) but linked to ptrefColumn FAO 13011/2 (ptcarId 16)
FCR;stopSignal with incoherent ptcar reference;;stopSignal A921 is present in micro:location Couillet (ptcarId 281) but linked to ptrefColumn ChâtO 3085/1 (ptcarId 2006)
FCR;stopSignal with incoherent ptcar reference;;stopSignal B925 is present in micro:location Couillet (ptcarId 281) but linked to ptrefColumn ChâtO 3084/2 (ptcarId 2006)
FCR;stopSignal with incoherent ptcar reference;;stopSignal BX1016 is present in micro:location Landelies (ptcarId 683) but linked to ptrefColumn NZ 13052/1 (ptcarId 793)
FCR;stopSignal with incoherent ptcar reference;;stopSignal BX1016.fic is present in micro:location Landelies (ptcarId 683) but linked to ptrefColumn NZ 13052/2 (ptcarId 793)
FCR;stopSignal with incoherent ptcar reference;;stopSignal BX849 is present in micro:location Farciennes (ptcarId 392) but linked to ptrefColumn FAO 13011/1 (ptcarId 16)
FCR;stopSignal with incoherent ptcar reference;;stopSignal BX849.fic is present in micro:location Farciennes (ptcarId 392) but linked to ptrefColumn FAO 13011/2 (ptcarId 16)
FCR;stopSignal with incoherent ptcar reference;;stopSignal BX921 is present in micro:location Couillet (ptcarId 281) but linked to ptrefColumn ChâtO 3085/1 (ptcarId 2006)
FCR;stopSignal with incoherent ptcar reference;;stopSignal D1-I.20 is present in micro:location Châtelet-O (ptcarId 2006) but linked to ptrefColumn Chât 13032/1 (ptcarId 263)
FCR;stopSignal with incoherent ptcar reference;;stopSignal D2-I.20 is present in micro:location Châtelet-O (ptcarId 2006) but linked to ptrefColumn Chât 13032/1 (ptcarId 263)
FCR;stopSignal with incoherent ptcar reference;;stopSignal D3-I.20 is present in micro:location Châtelet-O (ptcarId 2006) but linked to ptrefColumn Chât 13032/1 (ptcarId 263)
FCR;stopSignal with incoherent ptcar reference;;stopSignal D5-I.20 is present in micro:location Châtelet-O (ptcarId 2006) but linked to ptrefColumn Chât 13032/1 (ptcarId 263)
FCR;stopSignal with incoherent ptcar reference;;stopSignal DX4-I.20 is present in micro:location Châtelet-O (ptcarId 2006) but linked to ptrefColumn Chât 13032/1 (ptcarId 263)
FCR;stopSignal with incoherent ptcar reference;;stopSignal DX6-I.20 is present in micro:location Châtelet-O (ptcarId 2006) but linked to ptrefColumn Chât 13032/1 (ptcarId 263)
FCR;stopSignal with incoherent ptcar reference;;stopSignal F6-I.20 is present in micro:location Châtelet (ptcarId 263) but linked to ptrefColumn Chât13030/10 (ptcarId 2007)
FCR;stopSignal with incoherent ptcar reference;;stopSignal FX5-I.20 is present in micro:location Châtelet (ptcarId 263) but linked to ptrefColumn Chât13030/10 (ptcarId 2007)
FCR;stopSignal with incoherent ptcar reference;;stopSignal FY-J.20 is present in micro:location Chât. Vorm (ptcarId 264) but linked to ptrefColumn Chât-13030/5 (ptcarId 2007)
FCR;stopSignal with incoherent ptcar reference;;stopSignal FY5-I.20 is present in micro:location Châtelet (ptcarId 263) but linked to ptrefColumn Chât13030/11 (ptcarId 2007)
FCR;stopSignal with incoherent ptcar reference;;stopSignal GY-I.20 is present in micro:location Châtelet-O (ptcarId 2006) but linked to ptrefColumn Chât 13032/4 (ptcarId 263)
FCR;stopSignal with incoherent ptcar reference;;stopSignal HC-R.20 is present in micro:location Beignée (ptcarId 133) but linked to ptrefColumn Jamioulx 2/1 (ptcarId 612)
FCR;stopSignal with incoherent ptcar reference;;stopSignal HCX-R.20 is present in micro:location Beignée (ptcarId 133) but linked to ptrefColumn Jamioulx 2/1 (ptcarId 612)
FCR;stopSignal with incoherent ptcar reference;;stopSignal JW-H.20 is present in micro:location Couillet (ptcarId 281) but linked to ptrefColumn LCL 13088/8 (ptcarId 259)
FCR;stopSignal with incoherent ptcar reference;;stopSignal JY-H.20 is present in micro:location Couillet (ptcarId 281) but linked to ptrefColumn LCL 13088/4 (ptcarId 275)
FCR;stopSignal with incoherent ptcar reference;;stopSignal KC-R.20 is present in micro:location Beignée (ptcarId 133) but linked to ptrefColumn Jamioulx 2/2 (ptcarId 612)
FCR;stopSignal with incoherent ptcar reference;;stopSignal KCX-R.20 is present in micro:location Beignée (ptcarId 133) but linked to ptrefColumn Jamioulx 2/2 (ptcarId 612)
FCR;stopSignal with incoherent ptcar reference;;stopSignal L-L.20 is present in micro:location Erquelinn-Fr (ptcarId 370) but linked to ptrefColumn Erquelinn2/1 (ptcarId 369)
FCR;stopSignal with incoherent ptcar reference;;stopSignal LY-J.20 is present in micro:location Chat-Bund. C (ptcarId 300) but linked to ptrefColumn Chât-13030/6 (ptcarId 2007)
FCR;stopSignal with incoherent ptcar reference;;stopSignal LY-L.20 is present in micro:location Erquelinn-Fr (ptcarId 370) but linked to ptrefColumn Erquelinn2/1 (ptcarId 369)
FCR;stopSignal with incoherent ptcar reference;;stopSignal N-G.20 is present in micro:location Charl.-Centr (ptcarId 259) but linked to ptrefColumn FCR 12498/7 (ptcarId 2027)
FCR;stopSignal with incoherent ptcar reference;;stopSignal NY-J.20 is present in micro:location Chât. Vorm (ptcarId 264) but linked to ptrefColumn Chât-13030/8 (ptcarId 2007)
FCR;stopSignal with incoherent ptcar reference;;stopSignal O-G.20 is present in micro:location Charl.-Centr (ptcarId 259) but linked to ptrefColumn FCR 12498/4 (ptcarId 2027)
FCR;stopSignal with incoherent ptcar reference;;stopSignal P.AW04AL is present in micro:location Lobbes (ptcarId 744) but linked to ptrefColumn Lob 13056/4 (ptcarId 745)
FCR;stopSignal with incoherent ptcar reference;;stopSignal P.AW04BL is present in micro:location Lobbes (ptcarId 744) but linked to ptrefColumn Lob 13056/4 (ptcarId 745)
FCR;stopSignal with incoherent ptcar reference;;stopSignal Q-I.20 is present in micro:location Châtelet-O (ptcarId 2006) but linked to ptrefColumn Chât 13032/4 (ptcarId 263)
FCR;stopSignal with incoherent ptcar reference;;stopSignal RC-J.20 is present in micro:location Chât. Vorm (ptcarId 264) but linked to ptrefColumn Chât-13030/5 (ptcarId 2007)
FCR;stopSignal with incoherent ptcar reference;;stopSignal S-J.20 is present in micro:location Chât. Vorm (ptcarId 264) but linked to ptrefColumn Chât-13030/5 (ptcarId 2007)
FCR;stopSignal with incoherent ptcar reference;;stopSignal T-I.20 is present in micro:location Racc. Aperam (ptcarId 2088) but linked to ptrefColumn Chât 13033/3 (ptcarId 263)
