serZone;type;tag;description
FBMZ;automatic stopSignal without blockSignalId;;stopSignal BZ98 (location Buizingen, grid 9665)
FBMZ;automatic stopSignal without blockSignalId;;stopSignal RX-H.1 (location Vl-Wa L1, grid 96542)
FBMZ;automatic stopSignal without blockSignalId;;stopSignal S-H.1 (location Vl-Wa L1, grid 96542)
FBMZ;blockSignal without node;;L-96E-BZ98
FBMZ;catenaryCase without nodes;;21815
FBMZ;catenaryCase without nodes;;21930
FBMZ;catenaryCase without nodes;;21931
FBMZ;incoherent stopSignal regimes;;trackEdge [switch 24AJ to switch 10C]: found normal and wrong regimes for up stopSignal group
FBMZ;internal macro:trackEdge not possible in a371;;macro:location L96-Bypass (from L96-B to L96-A)
FBMZ;locationRouteEdge without locationPoint with timingLocation[meso];;location RNZV (ptcarId 305): nb of locationRouteEdges without locationPoint with timingLocation[meso] 3/62 E2-F.1 - L0/2-B E4-F.1 - L0/4-B E6-F.1 - L0/6-B
FBMZ;locationRouteEdge without locationPoint with timingLocation[micro];;location FO (ptcarId 415): nb of locationRouteEdges without locationPoint with timingLocation[micro] 1/12 aw20BR - L96B-A
FBMZ;locationRouteEdge without locationPoint with timingLocation[micro];;location RNZV (ptcarId 305): nb of locationRouteEdges without locationPoint with timingLocation[micro] 3/62 E2-F.1 - L0/2-B E4-F.1 - L0/4-B E6-F.1 - L0/6-B
FBMZ;speedSignal without node;;L124KP0A440R2S2
FBMZ;speedSignal without node;;L124KP0A660R1S1
FBMZ;speedSignal without node;;L26KP26A515R1S1
FBMZ;speedSignal without node;;L26KP26A515R1S2
FBMZ;speedSignal without node;;L26KP26A617R2S1
FBMZ;speedSignal without node;;L28KP0A0R1S1
FBMZ;speedSignal without node;;L28KP0A700R2S2
FBMZ;speedSignal without node;;L94KP12A280R1S1
FBMZ;speedSignal without node;;L94KP12A650R2S1
FBMZ;speedSignal without node;;L94KP12A700R2S1
FBMZ;speedSignal without node;;L96KP12A990R2S1
FBMZ;speedSignal without node;;L96KP13A415R1S1
FBMZ;speedSignal without node;;L96KP13A415R1S2
FBMZ;speedSignal without node;;L96KP13A513R2S1
FBMZ;speedSignal without node;;L96KP13A530R2S2
FBMZ;speedSignal without node;;L96KP4A760R1S1
FBMZ;speedSignal without node;;L96KP4A760R1S2
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal 33AE.fic is present in micro:location Halle-Goed (ptcarId 506) but linked to ptrefColumn Y.Hal 9662/1 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal C-N.1 is present in micro:location Halle (ptcarId 504) but linked to ptrefColumn Halle 9460/3 (ptcarId 506)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal EX-N.1 is present in micro:location Halle (ptcarId 504) but linked to ptrefColumn Halle 9460/1 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal F-N.1 is present in micro:location Halle (ptcarId 504) but linked to ptrefColumn Halle 9460/1 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal G-K.1 is present in micro:location Y.Kuregem (ptcarId 1521) but linked to ptrefColumn Y.Cur 2801/3 (ptcarId 299)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal GX-L.1 is present in micro:location Br-Vl L124 (ptcarId 72) but linked to ptrefColumn Y.Lin12403/2 (ptcarId 1566)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal GX-N.1 is present in micro:location Halle (ptcarId 504) but linked to ptrefColumn Halle 9460/1 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal GY-L.1 is present in micro:location Br-Vl L124 (ptcarId 72) but linked to ptrefColumn Y.Lin12403/2 (ptcarId 1566)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal H-N.1 is present in micro:location Halle (ptcarId 504) but linked to ptrefColumn Halle 9460/1 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal L-R.1 is present in micro:location Br-Vl L96 (ptcarId 1793) but linked to ptrefColumn Y.Rsbr9669/1 (ptcarId 1611)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal L-T.1 is present in micro:location Vl-Wa L106 (ptcarId 1796) but linked to ptrefColumn Lemb 9633/4 (ptcarId 706)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal N-R.1 is present in micro:location Br-Vl L96N (ptcarId 1802) but linked to ptrefColumn Y.Rsbr9669/1 (ptcarId 1611)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal NX-R.1 is present in micro:location Br-Vl L96N (ptcarId 1802) but linked to ptrefColumn Y.Rsbr9669/1 (ptcarId 1611)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal OX-R.1 is present in micro:location Br-Vl L96 (ptcarId 1793) but linked to ptrefColumn Y.Rsbr9669/1 (ptcarId 1611)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal P-R.1 is present in micro:location Vorst-Zuid (ptcarId 415) but linked to ptrefColumn Y.Rsbr9669/1 (ptcarId 1611)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal QD-K.1 is present in micro:location Brus KEF B.F (ptcarId 225) but linked to ptrefColumn Y.Cur 2801/6 (ptcarId 1521)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal S-N.1 is present in micro:location Halle (ptcarId 504) but linked to ptrefColumn Halle 9460/1 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal SX-J.1 is present in micro:location Y.Vorst-Oost (ptcarId 1536) but linked to ptrefColumn FBMZ9678/2 (ptcarId 220)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal T-E.1 is present in micro:location Halle-Goed (ptcarId 506) but linked to ptrefColumn Y.Hal 9662/2 (ptcarId 505)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal U-J.1 is present in micro:location Y.Vorst-Oost (ptcarId 1536) but linked to ptrefColumn FBMZ9678/5 (ptcarId 220)
FBMZ;stopSignal with incoherent ptcar reference;;stopSignal U162-J.1 is present in micro:location Y.Vorst-Oost (ptcarId 1536) but linked to ptrefColumn FBMZ9678/5 (ptcarId 220)
FBMZ;stopSignal without indi:id;;stopSignal A176 (location Vl-Wa L96, interGrid 9633 - SER 17)
FBMZ;stopSignal without indi:id;;stopSignal BX176 (location Vl-Wa L96, interGrid 9633 - SER 17)
FBMZ;subLocation without locationPoint;;Brussel-Klein-Eiland Werken
FBMZ;subLocation without locationPoint;;Brussel-Zuid SAS binnenrooster
FBMZ;switch not linked to 3 trackEdges;;switch 01K (location Brus KEF B.F, grid 9634)
FBMZ;switch not linked to 3 trackEdges;;switch 06BI (location Bruss-Zuid, grid 9678)
FBMZ;switch not linked to 3 trackEdges;;switch 09V (location Ruis Bund. D, grid 9682)
FBMZ;switch not linked to 3 trackEdges;;switch 11V (location RuisbrBundel, grid 9669)
FBMZ;switch not linked to 3 trackEdges;;switch 20BR (location Vorst-Zuid, grid 9669)
FBMZ;switch not linked to 3 trackEdges;;switch 28I (location Bruss-Zuid, grid 9678)
FBMZ;switch not linked to 3 trackEdges;;switch 33AE (location Halle-Goed, grid 9662)
FBMZ;switch not linked to 3 trackEdges;;switch 35AK (location Brussel-KE, grid 9675)
FBMZ;switch not linked to 3 trackEdges;;switch 36AK (location Brussel-KE, grid 9675)
FBMZ;switch not linked to 3 trackEdges;;switch 51I (location Bruss-Zuid, grid 9678)
FBMZ;switch not linked to 3 trackEdges;;switch 62BJ (location Y.Vorst-Oost, grid 9678)
FBMZ;switch not linked to 3 trackEdges;;switch 63AJ (location Bruss-Zuid-1, grid 9678)
FBMZ;switch not linked to 3 trackEdges;;switch 64J (location Bruss-Zuid-1, grid 9678)
FBMZ;switch not linked to 3 trackEdges;;switch 81I (location Bruss-Zuid, grid 9678)
FBMZ;switch not linked to 3 trackEdges;;switch 82I (location Bruss-Zuid, grid 9678)
FBMZ;switch not linked to 3 trackEdges;;switch 89J (location Bundel Gent, grid 9678)
FBN;automatic stopSignal without blockSignalId;;stopSignal C1-D.8 (location Bruss-Centr, grid 5)
FBN;automatic stopSignal without blockSignalId;;stopSignal J-T.8 (location Bordet, grid 2612)
FBN;automatic stopSignal without blockSignalId;;stopSignal T-T.8 (location Merode, grid 2613)
FBN;automatic stopSignal without blockSignalId;;stopSignal U-T.8 (location Merode, grid 2613)
FBN;automatic stopSignal without blockSignalId;;stopSignal UX-T.8 (location Merode, grid 2613)
FBN;blockSignal without node;;L - 0/5 - A532
FBN;incoherent stopSignal regimes;;trackEdge [switch 15C to switch 03O]: found normal and wrong regimes for up stopSignal group
FBN;incoherent stopSignal regimes;;trackEdge [switch 51L to switch 05J]: found normal and wrong regimes for down stopSignal group
FBN;incoherent stopSignal regimes;;trackEdge [switch 51L to switch 05J]: found normal and wrong regimes for up stopSignal group
FBN;location without nodes;;Schaarbeek TV 26A - DSP kant 2 (FSR26|2)
FBN;location without nodes;;Schaarbeek-Toeg.Vorming-L26A (FSR26)
FBN;location without nodes;;Schaarbeek-Vorming - B. Voorhaven (FSRV)
FBN;location without nodes;;Schaarbeek-Vorming - DSP kant 2 (FSRV|2)
FBN;locationRouteEdge without locationPoint with timingLocation[meso];;location FBN (ptcarId 221): nb of locationRouteEdges without locationPoint with timingLocation[meso] 3/657 E1-D.8 - L0/1-A E3-D.8 - L0/3-A E5-D.8 - L0/5-A
FBN;locationRouteEdge without locationPoint with timingLocation[meso];;location FSR (ptcarId 1048): nb of locationRouteEdges without locationPoint with timingLocation[meso] 1/3330 T-M.8 - L25-B
FBN;locationRouteEdge without locationPoint with timingLocation[meso];;location FSRCPI (ptcarId 1075): nb of locationRouteEdges without locationPoint with timingLocation[meso] 2/8 Schaarb-PCI - 815 - D-C.8 - C-C.8 - Schaarb-PCI - DSP 811 Schaarb-PCI - DSP 811 - C-C.8 - D-C.8 - Schaarb-PCI - 815
FBN;locationRouteEdge without locationPoint with timingLocation[meso];;location YMTB (ptcarId 1530): nb of locationRouteEdges without locationPoint with timingLocation[meso] 1/14 L26 - aw202.fic
FBN;locationRouteEdge without locationPoint with timingLocation[micro];;location FBN (ptcarId 221): nb of locationRouteEdges without locationPoint with timingLocation[micro] 3/657 E1-D.8 - L0/1-A E3-D.8 - L0/3-A E5-D.8 - L0/5-A
FBN;locationRouteEdge without locationPoint with timingLocation[micro];;location FSR (ptcarId 1048): nb of locationRouteEdges without locationPoint with timingLocation[micro] 1/3330 T-M.8 - L25-B
FBN;locationRouteEdge without locationPoint with timingLocation[micro];;location YMTB (ptcarId 1530): nb of locationRouteEdges without locationPoint with timingLocation[micro] 1/14 L26 - aw202.fic
FBN;locationRouteEdge without locationPoint with timingLocation[micro];;location YZEBR (ptcarId 1601): nb of locationRouteEdges without locationPoint with timingLocation[micro] 1/16 E-Q.8fic - 301
FBN;speedSignal without node;;L0KP3A271R1S1
FBN;speedSignal without node;FIXED;L161KP2A300R2S1
FBN;speedSignal without node;FIXED;L161KP2A300R2S2
FBN;speedSignal without node;NEW;L161KP6A744R2S1
FBN;speedSignal without node;NEW;L161KP6A770R2S2
FBN;speedSignal without node;;L26KP0A496R1S1
FBN;speedSignal without node;;L26KP0A496R2S1
FBN;speedSignal without node;;L26KP1A140R2S1
FBN;speedSignal without node;;L26KP1A20R1S1
FBN;speedSignal without node;;L26KP1A20R2S1
FBN;speedSignal without node;;L50KP1A97R1S1
FBN;stopSignal with incoherent ptcar reference;;stopSignal A44 is present in micro:location V.Haren-MIVB (ptcarId 509) but linked to ptrefColumn Haren 2606/1 (ptcarId 1663)
FBN;stopSignal with incoherent ptcar reference;;stopSignal AY78 is present in micro:location Etterbeek (ptcarId 380) but linked to ptrefColumn Mout 61075/1 (ptcarId 1973)
FBN;stopSignal with incoherent ptcar reference;;stopSignal BX44 is present in micro:location V.Haren-MIVB (ptcarId 509) but linked to ptrefColumn Haren 2606/1 (ptcarId 1663)
FBN;stopSignal with incoherent ptcar reference;;stopSignal BZ78 is present in micro:location Etterbeek (ptcarId 380) but linked to ptrefColumn Mout 61075/1 (ptcarId 1973)
FBN;stopSignal with incoherent ptcar reference;;stopSignal C-T.8 is present in micro:location Evere (ptcarId 383) but linked to ptrefColumn Josaph2604/2 (ptcarId 1055)
FBN;stopSignal with incoherent ptcar reference;;stopSignal CX-T.8 is present in micro:location Evere (ptcarId 383) but linked to ptrefColumn Josaph2604/2 (ptcarId 1055)
FBN;stopSignal with incoherent ptcar reference;;stopSignal D-K.8 is present in micro:location Schaarb|814 (ptcarId 1363) but linked to ptrefColumn FSR 2726/1 (ptcarId 1362)
FBN;stopSignal with incoherent ptcar reference;;stopSignal E-T.8 is present in micro:location Evere (ptcarId 383) but linked to ptrefColumn Josaph2604/2 (ptcarId 1055)
